code,ipo_amount
600252,224550000.0
600256,316520000.0
600258,399420000.0
600261,368400000.0
600266,829000000.0
600267,459800000.0
600269,1299380000.0
600271,932280000.0
600273,417750000.0
600276,466600000.0
600282,757785706.0000001
600284,371757850.00000006
600295,1300518352.0
600298,400787000.0
600299,492584000.0
600300,995000000.0
600307,1070000000.0
600308,1060580000.0
600309,434960000.0
600310,378450000.0
600312,727870000.0
600315,712620000.0
600320,838000000.0
600323,418250000.0
600325,405989700.0
600327,363596000.0
600329,384100000.0
600332,737989299.9999999
600335,200000000.0
600337,509237400.0
600339,423510199.99999994
600340,274289800.0
600346,197210000.0
600348,1182706000.0
600350,1274131420.0
600352,466475000.0
600362,493640000.0
600366,348455700.0
600369,415007900.0
600373,112602000.0
600376,402400000.0
600377,614500000.0
600380,1701503299.9999998
600383,826942200.0
600388,449342000.0
600390,581200000.0
600395,698064900.0
600398,436500000.0
600400,358470000.0
600403,190780000.0
600406,396395400.0
600409,576860900.0
600415,73147200.0
600418,841191500.0
600422,393430000.0
600426,358974125.0
600428,936494950.0
600436,327022600.0
600438,423832600.0
600449,307696500.0
600456,310884000.0
600479,397856300.0
600481,553805582.0
600483,334486800.0
600486,194813600.0
600487,380166000.0
600489,388292500.0
600497,384187320.00000006
600498,1797342000.0
600499,268800000.0
600500,941390000.0
600507,313067500.0
600508,963575000.0
600509,399900000.0
600510,535742430.0
600511,252250000.0
600516,465214100.00000006
600517,147449000.0
600518,216468000.0
600519,2202179475.0
600521,522540000.0
600522,359920000.0
600528,1016755000.0
600533,316828000.0
600535,711256799.9999999
600546,402686600.00000006
600547,271460000.0
600548,587160000.0
600549,333548340.0
600563,382556600.00000006
600566,330000000.0
600567,173884199.99999997
600569,1829250000.0
600570,244141600.0
600572,305774700.0
600577,184190000.0
600578,484073000.0
600580,274830900.0
600581,920940000.0
600582,302220000.0
600583,750380000.0
600585,793540000.0
600588,887924400.0
600596,310982000.0
600597,946300000.0
600598,1563260000.0
600600,625000000.0
600603,13030000.0
600606,35000000.0
600611,49000000.0
600612,40316000.0
600619,192000000.0
600621,67200000.0
600622,125000000.0
600623,136000000.0
600626,105000000.0
600628,56407912.0
600633,198100000.0
600635,16800000.0
600637,313824000.0
600638,175898169.00000003
600639,75000000.0
600641,12000000.0
600642,783664000.0
600643,315000000.0
600648,28000000.0
600649,517500000.0
