code,name,div_per_10,total_shares,ex_date,amount
600694,大商股份,2.2,226159791.0,2001-06-05,49755154.02
000796,凯撒旅业,0.6,116601937.0,2001-06-05,6996116.22
000880,潍柴重机,0.25,184067000.0,2001-06-04,4601675.0
600292,电投水电,2.0,167250000.0,2001-06-06,33450000.0
000917,电广传媒,3.0,258400000.0,2001-06-07,77520000.0
000949,新乡化纤,1.0,245285706.0,2001-06-07,24528570.6
600133,东湖高新,1.0,275592200.0,2001-06-06,27559220.0
600742,富维股份,1.5,211523400.0,2001-06-06,31728510.0
000897,津滨发展,0.9278,291000000.0,2001-06-06,26998980.0
000737,北方铜业,2.0,457300000.0,2001-06-07,91460000.0
000609,*ST中迪,1.5,129606749.0,2001-06-07,19441012.349999998
600203,福日电子,1.2,256400000.0,2001-06-06,30768000.0
600399,抚顺特钢,0.5,520000000.0,2001-06-07,26000000.0
000688,国城矿业,0.869,228935569.0,2001-06-07,19894500.9461
000598,兴蓉环境,1.0,153450000.0,2001-06-08,15345000.0
000400,许继电气,2.0,378272000.0,2001-06-06,75654400.0
000968,蓝焰控股,1.0,395190000.0,2001-06-06,39519000.0
000973,佛塑科技,1.6,373450600.0,2001-06-07,59752096.0
600127,金健米业,0.418,305000000.0,2001-06-05,12748999.999999998
600300,维维股份,3.0,330000000.0,2001-06-08,99000000.0
600872,中炬高新,0.3,450055950.0,2001-06-07,13501678.5
600117,西宁特钢,0.6,582220000.0,2001-06-07,34933200.0
600246,万通发展,0.8,92000000.0,2001-06-08,7360000.0
000681,视觉中国,1.0,132500000.0,2001-06-11,13250000.0
600105,永鼎股份,1.0,249610462.0,2001-06-08,24961046.200000003
600278,东方创业,1.6,320000000.0,2001-06-08,51200000.0
000157,中联重科,1.0,150000000.0,2001-06-08,15000000.0
600681,百川能源,0.4,208068030.0,2001-06-11,8322721.2
600308,华泰股份,3.0,192473308.0,2001-06-08,57741992.4
600279,重庆港,1.0,228390960.0,2001-06-08,22839096.0
000863,三湘印象,0.3,135620262.0,2001-06-08,4068607.86
600168,武汉控股,5.0,441150000.0,2001-06-08,220575000.0
600085,同仁堂,1.85,259800000.0,2001-06-11,48063000.0
000713,国投丰乐,2.0,225000000.0,2001-06-08,45000000.0
600266,城建发展,5.0,400000000.0,2001-06-08,200000000.0
600111,北方稀土,1.2,403674000.0,2001-06-08,48440880.0
000860,顺鑫农业,1.3809,304150000.0,2001-06-11,42000073.5
000685,中山公用,1.0,136620000.0,2001-06-08,13662000.0
600887,伊利股份,3.5,146671070.0,2001-06-11,51334874.5
600258,首旅酒店,1.9,231400000.0,2001-06-11,43966000.0
600323,瀚蓝环境,2.5,208514168.0,2001-06-11,52128542.0
000668,荣丰控股,0.5,146841890.0,2001-06-11,7342094.5
600060,海信视像,1.05,493767810.0,2001-06-12,51845620.050000004
600063,皖维高新,1.5,252900000.0,2001-06-12,37935000.0
000815,美利云,0.5,132000000.0,2001-06-11,6600000.0
600243,*ST海华,0.4,156600000.0,2001-06-12,6264000.0
600398,海澜之家,2.0,96700830.0,2001-06-13,19340166.0
600132,重庆啤酒,2.0,170872000.0,2001-06-12,34174400.0
600865,百大集团,1.6,269706320.0,2001-06-12,43153011.2
600201,生物股份,0.89,109213250.0,2001-06-12,9719979.25
600821,金开新能,0.95,292520958.0,2001-06-12,27789491.01
600138,中青旅,1.5,267000000.0,2001-06-12,40050000.0
600019,宝钢股份,0.5,12512000000.0,2001-06-12,625600000.0
000821,ST京机,2.0,308821332.0,2001-06-12,61764266.400000006
600006,东风股份,2.0,1000000000.0,2001-06-13,200000000.0
600801,华新建材,0.4,328400000.0,2001-06-12,13136000.0
600106,重庆路桥,1.0,310000000.0,2001-06-14,31000000.0
000878,云南铜业,1.4,798688800.0,2001-06-13,111816431.99999999
000659,珠海中富,2.0,378792500.0,2001-06-13,75758500.0
600211,西藏药业,2.0,122600000.0,2001-06-13,24520000.0
000779,甘咨询,0.5,183154800.0,2001-06-12,9157740.0
000862,银星能源,1.5,218340000.0,2001-06-13,32751000.0
000967,盈峰环境,1.2,136786080.0,2001-06-13,16414329.6
000997,新大陆,2.5,116000000.0,2001-06-14,29000000.0
600770,综艺股份,1.0,270000000.0,2001-06-13,27000000.0
000700,模塑科技,3.0,124521800.0,2001-06-13,37356540.0
000686,东北证券,0.8788,110166000.0,2001-06-13,9681388.08
600301,华锡有色,1.0,185148140.0,2001-06-14,18514814.0
000981,山子高科,4.0,161000000.0,2001-06-14,64400000.0
600081,东风科技,1.0,201000000.0,2001-06-14,20100000.0
000823,超声电子,1.5,359200000.0,2001-06-14,53880000.0
600798,宁波海运,1.25,511875000.0,2001-06-14,63984375.0
000060,中金岭南,2.0,432000000.0,2001-06-14,86400000.0
000928,中钢国际,1.6,282899000.0,2001-06-14,45263840.0
600356,恒丰纸业,1.0,140000000.0,2001-06-14,14000000.0
000816,智慧农业,0.5,306200000.0,2001-06-15,15310000.0
600368,五洲交通,1.0,442000000.0,2001-06-15,44200000.0
000078,ST海王,1.3778,221800000.0,2001-06-18,30559603.999999996
600664,哈药股份,1.5,450860357.0,2001-06-15,67629053.55
000720,新能泰山,1.0,319800000.0,2001-06-18,31980000.0
000601,韶能股份,1.5,390380528.0,2001-06-14,58557079.199999996
600761,安徽合力,3.0,204636311.0,2001-06-15,61390893.3
000937,冀中能源,1.25,425000000.0,2001-06-15,53125000.0
600377,宁沪高速,0.9,5037747500.0,2001-06-15,453397275.0
600235,民丰特纸,1.5,177000000.0,2001-06-18,26550000.0
000697,炼石航空,1.0,217461700.0,2001-06-18,21746170.0
000888,峨眉山A,1.0,118660000.0,2001-06-15,11866000.0
000729,燕京啤酒,2.0,667424500.0,2001-06-18,133484900.0
000652,泰达股份,1.41,300279580.0,2001-06-18,42339420.779999994
000301,东方盛虹,0.5,466614896.0,2001-06-15,23330744.8
000966,长源电力,2.0,308451700.0,2001-06-15,61690340.0
600165,ST宁科,2.74,251200000.0,2001-06-18,68828800.0
600778,友好集团,0.8,311491352.0,2001-06-19,24919308.16
600199,金种子酒,0.9325,346400000.0,2001-06-15,32301800.0
000799,酒鬼酒,2.0,303050000.0,2001-06-20,60610000.0
000625,长安汽车,0.38,1226666000.0,2001-06-19,46613308.0
600250,南京商旅,2.0,132662800.0,2001-06-19,26532560.0
600328,中盐化工,1.7,172652899.0,2001-06-19,29350992.83
600293,三峡新材,0.5,211000000.0,2001-06-19,10550000.0
600829,人民同泰,1.0,132168300.0,2001-06-19,13216830.0
000591,太阳能,1.25,99866192.0,2001-06-19,12483274.0
000655,金岭矿业,1.5,125907813.0,2001-06-19,18886171.95
600236,桂冠电力,2.51,675363033.0,2001-06-19,169516121.283
600229,城市传媒,1.8,295126210.0,2001-06-19,53122717.8
600223,福瑞达,3.0,536250000.0,2001-06-20,160875000.0
600128,苏豪弘业,1.5,199447500.0,2001-06-19,29917125.0
600153,建发股份,3.0,296000000.0,2001-06-19,88800000.0
600333,长春燃气,0.5,239136000.0,2001-06-19,11956800.0
600056,中国医药,1.0,130350000.0,2001-06-19,13035000.0
600130,波导股份,1.0,160000000.0,2001-06-19,16000000.0
600345,长江通信,2.0,165000000.0,2001-06-20,33000000.0
600265,*ST景谷,1.2,105000000.0,2001-06-19,12600000.0
600400,红豆股份,0.5,179523000.0,2001-06-19,8976150.0
000066,中国长城,1.0,458491500.0,2001-06-21,45849150.0
000096,广聚能源,1.1,330000000.0,2001-06-19,36300000.00000001
000938,紫光股份,3.0,206080000.0,2001-06-21,61824000.0
000581,威孚高科,2.0,436366150.0,2001-06-20,87273230.0
000786,北新建材,1.5,287575000.0,2001-06-19,43136250.0
600719,大连热电,1.0,202299800.0,2001-06-20,20229980.0
600796,钱江生化,1.5,106514000.0,2001-06-20,15977100.0
600131,国网信通,1.0,273478822.0,2001-06-22,27347882.200000003
000090,天健集团,1.5,223261600.0,2001-06-22,33489240.0
600880,博瑞传播,0.7,130180050.0,2001-06-22,9112603.499999998
600337,ST美克,2.0,92080000.0,2001-06-21,18416000.0
600690,海尔智家,2.0,664706902.0,2001-06-21,132941380.4
600897,厦门空港,1.0,270000000.0,2001-06-21,27000000.0
000635,英力特,0.4,114562000.0,2001-06-21,4582480.0
600252,中恒集团,2.0,126717600.0,2001-06-21,25343520.0
600335,国机汽车,3.5,116628600.0,2001-06-21,40820010.0
000792,盐湖股份,2.7,220850000.0,2001-06-20,59629500.00000001
600713,南京医药,1.6,194260716.0,2001-06-21,31081714.560000002
000607,华媒控股,0.2,152780000.0,2001-06-21,3055600.0
000869,张裕A,2.0,260000000.0,2001-06-25,52000000.0
000016,*ST康佳A,1.5,601986352.0,2001-06-25,90297952.8
600305,恒顺醋业,0.5,127150000.0,2001-06-22,6357500.0
600239,ST云城,1.0,50566000.0,2001-06-22,5056600.0
600369,西南证券,1.0,172300000.0,2001-06-22,17230000.0
600302,ST标准,2.0,159504902.0,2001-06-22,31900980.400000002
000538,云南白药,1.0,185817976.0,2001-06-21,18581797.6
600661,昂立教育,1.5,144730688.0,2001-06-22,21709603.2
000032,深桑达A,1.0,130812000.0,2001-06-25,13081200.0
