date,nav,daily_ret,acc_nav
2022-02-24,1.572,-1.5,1.572
2022-02-25,1.578,0.38,1.578
2022-02-28,1.583,0.32,1.583
2022-03-01,1.598,0.95,1.598
2022-03-02,1.596,-0.13,1.596
2022-03-03,1.595,-0.06,1.595
2022-03-04,1.579,-1.0,1.579
2022-03-07,1.547,-2.03,1.547
2022-03-08,1.514,-2.13,1.514
2022-03-09,1.498,-1.06,1.498
2022-03-10,1.512,0.93,1.512
2022-03-11,1.515,0.2,1.515
2022-03-14,1.482,-2.18,1.482
2022-03-15,1.409,-4.93,1.409
2022-03-16,1.454,3.19,1.454
2022-03-17,1.47,1.1,1.47
2022-03-18,1.488,1.22,1.488
2022-03-21,1.488,0.0,1.488
2022-03-22,1.493,0.34,1.493
2022-03-23,1.497,0.27,1.497
2022-03-24,1.491,-0.4,1.491
2022-03-25,1.477,-0.94,1.477
2022-03-28,1.48,0.2,1.48
2022-03-29,1.477,-0.2,1.477
2022-03-30,1.503,1.76,1.503
2022-03-31,1.499,-0.27,1.499
2022-04-01,1.517,1.2,1.517
2022-04-06,1.518,0.07,1.518
2022-04-07,1.497,-1.38,1.497
2022-04-08,1.509,0.8,1.509
2022-04-11,1.476,-2.19,1.476
2022-04-12,1.491,1.02,1.491
2022-04-13,1.48,-0.74,1.48
2022-04-14,1.496,1.08,1.496
2022-04-15,1.491,-0.33,1.491
2022-04-18,1.48,-0.74,1.48
2022-04-19,1.483,0.2,1.483
2022-04-20,1.463,-1.35,1.463
2022-04-21,1.433,-2.05,1.433
2022-04-22,1.439,0.42,1.439
2022-04-25,1.37,-4.79,1.37
2022-04-26,1.354,-1.17,1.354
2022-04-27,1.387,2.44,1.387
2022-04-28,1.398,0.79,1.398
2022-04-29,1.427,2.07,1.427
2022-05-05,1.435,0.56,1.435
2022-05-06,1.405,-2.09,1.405
2022-05-09,1.405,0.0,1.405
2022-05-10,1.416,0.78,1.416
2022-05-11,1.423,0.49,1.423
2022-05-12,1.422,-0.07,1.422
2022-05-13,1.437,1.05,1.437
2022-05-16,1.431,-0.42,1.431
2022-05-17,1.44,0.63,1.44
2022-05-18,1.436,-0.28,1.436
2022-05-19,1.442,0.42,1.442
2022-05-20,1.463,1.46,1.463
2022-05-23,1.462,-0.07,1.462
2022-05-24,1.431,-2.12,1.431
2022-05-25,1.446,1.05,1.446
2022-05-26,1.456,0.69,1.456
2022-05-27,1.459,0.21,1.459
2022-05-30,1.463,0.27,1.463
2022-05-31,1.479,1.09,1.479
2022-06-01,1.477,-0.14,1.477
2022-06-02,1.482,0.34,1.482
2022-06-06,1.496,0.94,1.496
2022-06-07,1.497,0.07,1.497
2022-06-08,1.513,1.07,1.513
2022-06-09,1.503,-0.66,1.503
2022-06-10,1.523,1.33,1.523
2022-06-13,1.511,-0.79,1.511
2022-06-14,1.526,0.99,1.526
2022-06-15,1.534,0.52,1.534
2022-06-16,1.523,-0.72,1.523
2022-06-17,1.538,0.98,1.538
2022-06-20,1.535,-0.2,1.535
2022-06-21,1.531,-0.26,1.531
2022-06-22,1.514,-1.11,1.514
2022-06-23,1.538,1.59,1.538
2022-06-24,1.549,0.72,1.549
2022-06-27,1.562,0.84,1.562
2022-06-28,1.576,0.9,1.576
2022-06-29,1.556,-1.27,1.556
2022-06-30,1.573,1.09,1.573
2022-07-01,1.568,-0.32,1.568
2022-07-04,1.575,0.45,1.575
2022-07-05,1.576,0.06,1.576
2022-07-06,1.553,-1.46,1.553
2022-07-07,1.558,0.32,1.558
2022-07-08,1.555,-0.19,1.555
2022-07-11,1.536,-1.22,1.536
2022-07-12,1.532,-0.26,1.532
2022-07-13,1.532,0.0,1.532
2022-07-14,1.527,-0.33,1.527
2022-07-15,1.51,-1.11,1.51
2022-07-18,1.535,1.66,1.535
2022-07-19,1.535,0.0,1.535
2022-07-20,1.545,0.65,1.545
2022-07-21,1.532,-0.84,1.532
2022-07-22,1.53,-0.13,1.53
2022-07-25,1.523,-0.46,1.523
2022-07-26,1.533,0.66,1.533
2022-07-27,1.533,0.0,1.533
2022-07-28,1.534,0.07,1.534
2022-07-29,1.522,-0.78,1.522
2022-08-01,1.522,0.0,1.522
2022-08-02,1.489,-2.17,1.489
2022-08-03,1.481,-0.54,1.481
2022-08-04,1.492,0.74,1.492
2022-08-05,1.51,1.21,1.51
2022-08-08,1.514,0.26,1.514
2022-08-09,1.52,0.4,1.52
2022-08-10,1.51,-0.66,1.51
2022-08-11,1.532,1.46,1.532
2022-08-12,1.534,0.13,1.534
2022-08-15,1.534,0.0,1.534
2022-08-16,1.537,0.2,1.537
